RECORD_CREATION_DATE,MONTO_DEL_PRESTAMO,RANGO_DEL_CREDITO,DEUDA_EXISTENTE,NOTAS_DEL_AGENTE,UBICACION_DE_LA_OFICINA,PRESTAMO_INCUMPLIDO
05Jun2014:12:36:03.000000,35000,720-739,,El cliente no tiene deuda,NEVADA,FALSO
05Jun2014:13:03:53.000000,14100,700-719,"$100,000+",,OREGON,VERDADERO
05Jun2014:13:25:03.000000,3900,760-779,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
05Jun2014:13:33:27.000000,11500,760-779,"$40,001-$50,000","Ingreso anual neto: $24,600",ARIZONA,FALSO
05Jun2014:13:41:03.000000,2500,700-719,,,ARIZONA,FALSO
05Jun2014:13:53:03.000000,3800,780-799,"$10,001-$20,000",,WASHINGTON STATE,FALSO
05Jun2014:14:19:45.000000,2500,780-799,"$10,001-$20,000",,NEVADA,VERDADERO
05Jun2014:14:31:02.000000,7200,700-719,,,SOUTHERN CALIFORNIA,FALSO
05Jun2014:14:54:41.000000,2500,740-759,,"Ingreso anual neto: $26,000",SOUTHERN CALIFORNIA,FALSO
05Jun2014:15:20:59.000000,3600,700-719,"$10,001-$20,000",,ARIZONA,FALSO
05Jun2014:15:43:42.000000,10800,700-719,"$1-$10,000",,WASHINGTON STATE,FALSO
05Jun2014:16:02:16.000000,2500,760-779,,,ARIZONA,FALSO
05Jun2014:16:26:48.000000,3700,700-719,"$100,000+","Ingreso mensual neto 9,540",WASHINGTON STATE,VERDADERO
05Jun2014:16:49:47.000000,4700,700-719,,,OREGON,FALSO
05Jun2014:16:56:30.000000,2600,760-779,"$10,001-$20,000","Ingreso anual neto: $15,000",NEVADA,FALSO
05Jun2014:17:10:15.000000,7500,700-719,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
05Jun2014:17:18:23.000000,2900,740-759,"$50,001-$60,000","Pagos mensuales de deuda verificados: $900...Ingreso mensual neto 2,950",SOUTHERN CALIFORNIA,FALSO
05Jun2014:17:50:10.000000,2800,720-739,"$90,001-$100,000","Ingreso mensual neto 5,130",NORTHERN CALIFORNIA,FALSO
05Jun2014:18:18:54.000000,4200,780-799,"$20,001-$30,000",,NEVADA,FALSO
05Jun2014:18:45:32.000000,2500,720-739,"$10,001-$20,000",,ARIZONA,FALSO
06Jun2014:09:06:04.000000,22600,780-799,"$80,001-$90,000","Ingreso anual neto: $129,800",SOUTHERN CALIFORNIA,FALSO
06Jun2014:09:18:24.000000,5000,740-759,"$70,001-$80,000","Ingreso mensual neto 4,300...Pagos mensuales de deuda verificados: $1,270",NEVADA,FALSO
06Jun2014:09:45:43.000000,2500,740-759,,"Ingreso anual neto: $35,800",NORTHERN CALIFORNIA,FALSO
06Jun2014:09:55:25.000000,2500,760-779,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
06Jun2014:10:07:02.000000,2500,740-759,,,SOUTHERN CALIFORNIA,FALSO
06Jun2014:10:39:57.000000,35000,780-799,"$1-$10,000","Ingreso anual neto: $23,500",NEVADA,FALSO
06Jun2014:11:04:41.000000,21400,740-759,"$30,001-$40,000",Pagos mensuales de deuda verificados: $560,NORTHERN CALIFORNIA,FALSO
06Jun2014:11:29:06.000000,12700,720-739,"$40,001-$50,000",,OREGON,FALSO
06Jun2014:12:01:32.000000,9600,780-799,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
06Jun2014:12:22:24.000000,2500,800+,,,ARIZONA,FALSO
06Jun2014:12:32:28.000000,2500,780-799,"$50,001-$60,000",,ARIZONA,VERDADERO
06Jun2014:12:44:25.000000,2500,740-759,"$30,001-$40,000","Pagos mensuales de deuda verificados: $550...Ingreso mensual neto 1,950",ARIZONA,FALSO
06Jun2014:13:09:30.000000,25500,780-799,,,WASHINGTON STATE,FALSO
06Jun2014:13:38:12.000000,2500,780-799,"$20,001-$30,000","Ingreso mensual neto 3,390",NORTHERN CALIFORNIA,FALSO
06Jun2014:13:53:50.000000,18400,700-719,"$20,001-$30,000","Ingreso anual neto: $27,400...Pagos mensuales de deuda verificados: $510",NEVADA,FALSO
06Jun2014:14:21:00.000000,6700,740-759,"$10,001-$20,000",,WASHINGTON STATE,FALSO
06Jun2014:14:49:13.000000,14800,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $58,700",SOUTHERN CALIFORNIA,FALSO
06Jun2014:15:10:02.000000,5600,720-739,"$100,000+","Ingreso mensual neto 16,670...Pagos mensuales de deuda verificados: $1,810",WASHINGTON STATE,VERDADERO
06Jun2014:15:35:28.000000,3800,700-719,"$50,001-$60,000","Ingreso mensual neto 3,030",NORTHERN CALIFORNIA,FALSO
06Jun2014:15:49:37.000000,2900,760-779,"$20,001-$30,000","Ingreso mensual neto 2,650",NEVADA,FALSO
06Jun2014:16:03:37.000000,4200,740-759,"$60,001-$70,000","Ingreso anual neto: $29,100",NORTHERN CALIFORNIA,FALSO
06Jun2014:16:29:08.000000,2500,720-739,"$20,001-$30,000",Pagos mensuales de deuda verificados: $480,ARIZONA,FALSO
06Jun2014:16:48:40.000000,2500,700-719,,"Ingreso anual neto: $38,500",WASHINGTON STATE,FALSO
06Jun2014:17:19:04.000000,23100,740-759,,"Ingreso mensual neto 5,170",WASHINGTON STATE,FALSO
06Jun2014:17:38:21.000000,3100,700-719,"$40,001-$50,000","Ingreso anual neto: $37,500",ARIZONA,FALSO
06Jun2014:17:57:30.000000,4600,740-759,"$1-$10,000",,NEVADA,FALSO
06Jun2014:18:14:09.000000,2700,700-719,,"Ingreso mensual neto 16,670",ARIZONA,FALSO
06Jun2014:18:30:48.000000,2500,740-759,"$20,001-$30,000",,NEVADA,FALSO
06Jun2014:18:49:45.000000,2500,800+,,"Ingreso mensual neto 16,670",NEVADA,FALSO
06Jun2014:18:59:35.000000,2500,720-739,"$40,001-$50,000",,ARIZONA,FALSO
09Jun2014:09:08:35.000000,35000,760-779,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
09Jun2014:09:18:46.000000,2500,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $460,ARIZONA,VERDADERO
09Jun2014:09:51:04.000000,13500,720-739,"$20,001-$30,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,FALSO
09Jun2014:10:24:39.000000,8300,700-719,"$1-$10,000",Pagos mensuales de deuda verificados: $70,NORTHERN CALIFORNIA,FALSO
09Jun2014:10:38:26.000000,5400,700-719,"$30,001-$40,000","Ingreso anual neto: $38,600",ARIZONA,FALSO
09Jun2014:11:02:51.000000,2500,800+,"$1-$10,000","Ingreso anual neto: $72,000",OREGON,VERDADERO
09Jun2014:11:14:24.000000,4000,700-719,"$30,001-$40,000","Pagos mensuales de deuda verificados: $690...Ingreso anual neto: $81,400",OREGON,FALSO
09Jun2014:11:26:23.000000,2500,720-739,"$1-$10,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
09Jun2014:11:50:55.000000,4800,700-719,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
09Jun2014:12:02:30.000000,3800,760-779,,El cliente no tiene deuda,WASHINGTON STATE,FALSO
09Jun2014:12:26:17.000000,4600,720-739,"$30,001-$40,000",Pagos mensuales de deuda verificados: $610,OREGON,FALSO
09Jun2014:12:39:18.000000,2500,720-739,"$50,001-$60,000",,WASHINGTON STATE,FALSO
09Jun2014:12:45:49.000000,6600,780-799,"$10,001-$20,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
09Jun2014:13:09:05.000000,4700,720-739,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
09Jun2014:13:30:28.000000,3300,760-779,"$1-$10,000","Ingreso anual neto: $15,000",NEVADA,FALSO
09Jun2014:13:38:42.000000,2500,740-759,"$10,001-$20,000","Ingreso anual neto: $30,000...Pagos mensuales de deuda verificados: $200",SOUTHERN CALIFORNIA,FALSO
09Jun2014:13:45:47.000000,8100,780-799,"$40,001-$50,000","Ingreso mensual neto 4,830...Pagos mensuales de deuda verificados: $830",WASHINGTON STATE,FALSO
09Jun2014:14:00:01.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $20,900",SOUTHERN CALIFORNIA,VERDADERO
09Jun2014:14:32:10.000000,15500,740-759,"$60,001-$70,000","Ingreso anual neto: $45,300...Pagos mensuales de deuda verificados: $1,070",SOUTHERN CALIFORNIA,FALSO
09Jun2014:14:47:34.000000,31600,720-739,"$70,001-$80,000","Ingreso anual neto: $161,800",NEVADA,FALSO
09Jun2014:15:02:26.000000,3000,700-719,"$20,001-$30,000",,OREGON,FALSO
09Jun2014:15:11:38.000000,3800,700-719,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
09Jun2014:15:35:02.000000,2500,700-719,"$30,001-$40,000",,NORTHERN CALIFORNIA,VERDADERO
09Jun2014:15:52:49.000000,32700,700-719,"$1-$10,000",Pagos mensuales de deuda verificados: $140,NORTHERN CALIFORNIA,VERDADERO
09Jun2014:16:07:51.000000,4600,700-719,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
09Jun2014:16:36:43.000000,9200,760-779,"$60,001-$70,000",,NORTHERN CALIFORNIA,FALSO
09Jun2014:17:03:17.000000,2500,700-719,"$20,001-$30,000","Pagos mensuales de deuda verificados: $470...Ingreso anual neto: $45,100",SOUTHERN CALIFORNIA,FALSO
09Jun2014:17:36:47.000000,2500,740-759,"$40,001-$50,000",,SOUTHERN CALIFORNIA,VERDADERO
09Jun2014:18:09:17.000000,3300,780-799,,"Ingreso anual neto: $53,900...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
09Jun2014:18:19:27.000000,4400,740-759,,"Ingreso mensual neto 3,550",NORTHERN CALIFORNIA,VERDADERO
09Jun2014:18:35:49.000000,2500,700-719,"$30,001-$40,000",Pagos mensuales de deuda verificados: $580,ARIZONA,FALSO
10Jun2014:09:05:03.000000,2500,740-759,"$50,001-$60,000","Ingreso mensual neto 3,910...Pagos mensuales de deuda verificados: $960",OREGON,FALSO
10Jun2014:09:23:15.000000,7000,740-759,,"Ingreso mensual neto 2,880",ARIZONA,FALSO
10Jun2014:09:49:32.000000,2500,720-739,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
10Jun2014:10:14:21.000000,6100,800+,"$10,001-$20,000","Ingreso mensual neto 2,930",ARIZONA,FALSO
10Jun2014:10:33:09.000000,4800,740-759,,,NORTHERN CALIFORNIA,FALSO
10Jun2014:10:45:02.000000,5100,700-719,"$30,001-$40,000",,SOUTHERN CALIFORNIA,VERDADERO
10Jun2014:11:14:07.000000,35000,700-719,"$20,001-$30,000","Ingreso anual neto: $79,600",ARIZONA,FALSO
10Jun2014:11:32:46.000000,8500,700-719,,"El cliente no tiene deuda...Ingreso anual neto: $66,900",ARIZONA,FALSO
10Jun2014:11:44:06.000000,2500,740-759,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
10Jun2014:11:57:40.000000,4700,800+,"$80,001-$90,000","Ingreso mensual neto 11,000",ARIZONA,FALSO
10Jun2014:12:08:21.000000,2500,700-719,,"Ingreso anual neto: $200,000",OREGON,FALSO
10Jun2014:12:35:16.000000,31600,700-719,"$30,001-$40,000",,SOUTHERN CALIFORNIA,FALSO
10Jun2014:12:55:04.000000,5800,740-759,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
10Jun2014:13:16:25.000000,11900,740-759,,"Ingreso anual neto: $15,000",OREGON,FALSO
10Jun2014:13:45:08.000000,2500,760-779,"$30,001-$40,000",,WASHINGTON STATE,FALSO
10Jun2014:14:06:08.000000,3100,700-719,"$10,001-$20,000","Pagos mensuales de deuda verificados: $270...Ingreso anual neto: $15,000",WASHINGTON STATE,VERDADERO
10Jun2014:14:26:33.000000,4200,780-799,"$90,001-$100,000","Pagos mensuales de deuda verificados: $1,620",NORTHERN CALIFORNIA,FALSO
10Jun2014:14:41:36.000000,6200,780-799,,"Ingreso anual neto: $82,400",WASHINGTON STATE,FALSO
10Jun2014:15:11:46.000000,7200,780-799,"$1-$10,000",,WASHINGTON STATE,VERDADERO
10Jun2014:15:35:24.000000,3600,700-719,"$100,000+","Pagos mensuales de deuda verificados: $2,100",ARIZONA,FALSO
10Jun2014:15:48:07.000000,3000,740-759,"$30,001-$40,000","Ingreso mensual neto 16,670",NORTHERN CALIFORNIA,FALSO
10Jun2014:16:20:34.000000,2500,780-799,"$40,001-$50,000","Ingreso anual neto: $29,300",SOUTHERN CALIFORNIA,FALSO
10Jun2014:16:48:44.000000,2500,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $420,ARIZONA,FALSO
10Jun2014:17:17:24.000000,3000,720-739,"$1-$10,000","Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
10Jun2014:17:42:39.000000,10900,740-759,"$10,001-$20,000","Ingreso mensual neto 1,700",NEVADA,FALSO
10Jun2014:18:05:29.000000,2900,740-759,"$100,000+","Pagos mensuales de deuda verificados: $3,730",ARIZONA,VERDADERO
10Jun2014:18:19:39.000000,2500,700-719,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
10Jun2014:18:29:01.000000,3300,780-799,,,NORTHERN CALIFORNIA,FALSO
10Jun2014:18:53:34.000000,18100,700-719,"$10,001-$20,000",,ARIZONA,FALSO
11Jun2014:09:16:35.000000,12900,800+,,,OREGON,FALSO
11Jun2014:09:23:01.000000,9100,780-799,"$10,001-$20,000",Pagos mensuales de deuda verificados: $290,NEVADA,FALSO
11Jun2014:09:47:57.000000,3100,780-799,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
11Jun2014:10:01:30.000000,2500,780-799,"$1-$10,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $130",NEVADA,FALSO
11Jun2014:10:30:11.000000,2500,700-719,,,SOUTHERN CALIFORNIA,FALSO
11Jun2014:10:44:10.000000,2500,780-799,"$30,001-$40,000",,NEVADA,FALSO
11Jun2014:11:09:28.000000,2500,760-779,"$40,001-$50,000",,NORTHERN CALIFORNIA,FALSO
11Jun2014:11:36:15.000000,2500,740-759,,"Ingreso anual neto: $15,000",ARIZONA,FALSO
11Jun2014:12:00:10.000000,2500,760-779,"$60,001-$70,000",,SOUTHERN CALIFORNIA,FALSO
11Jun2014:12:32:06.000000,2500,760-779,"$100,000+",,ARIZONA,VERDADERO
11Jun2014:12:39:54.000000,8500,760-779,,,SOUTHERN CALIFORNIA,FALSO
11Jun2014:13:06:25.000000,2500,740-759,,,ARIZONA,FALSO
11Jun2014:13:27:19.000000,2800,740-759,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
11Jun2014:13:34:26.000000,2500,780-799,"$50,001-$60,000","Ingreso mensual neto 10,450",NEVADA,FALSO
11Jun2014:13:43:27.000000,2500,740-759,"$20,001-$30,000",,NEVADA,FALSO
11Jun2014:14:08:16.000000,4700,760-779,"$1-$10,000",,SOUTHERN CALIFORNIA,VERDADERO
11Jun2014:14:28:36.000000,4200,720-739,"$20,001-$30,000","Ingreso mensual neto 16,670",NEVADA,FALSO
11Jun2014:14:52:08.000000,4900,800+,"$60,001-$70,000","Pagos mensuales de deuda verificados: $1,200...Ingreso anual neto: $77,900",ARIZONA,FALSO
11Jun2014:15:24:33.000000,7000,760-779,"$20,001-$30,000","Ingreso anual neto: $33,700",SOUTHERN CALIFORNIA,FALSO
11Jun2014:15:42:46.000000,12800,700-719,"$30,001-$40,000",,ARIZONA,FALSO
11Jun2014:16:14:22.000000,2500,800+,,"Ingreso mensual neto 16,670",ARIZONA,FALSO
11Jun2014:16:34:37.000000,6100,700-719,"$1-$10,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
11Jun2014:16:43:41.000000,2500,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $20,NORTHERN CALIFORNIA,FALSO
11Jun2014:16:57:24.000000,3200,780-799,,,SOUTHERN CALIFORNIA,VERDADERO
11Jun2014:17:13:00.000000,2500,700-719,"$40,001-$50,000",,NORTHERN CALIFORNIA,FALSO
11Jun2014:17:38:14.000000,10900,800+,"$10,001-$20,000","Ingreso anual neto: $53,800...Pagos mensuales de deuda verificados: $210",NORTHERN CALIFORNIA,FALSO
11Jun2014:17:59:26.000000,4600,760-779,"$30,001-$40,000","Pagos mensuales de deuda verificados: $660...Ingreso anual neto: $72,100",NEVADA,FALSO
11Jun2014:18:19:50.000000,8000,800+,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
11Jun2014:18:46:14.000000,2500,760-779,,El cliente no tiene deuda,WASHINGTON STATE,FALSO
12Jun2014:09:09:52.000000,3100,740-759,,,SOUTHERN CALIFORNIA,FALSO
12Jun2014:09:32:42.000000,2500,720-739,"$10,001-$20,000",,NEVADA,FALSO
12Jun2014:09:47:17.000000,7100,700-719,,El cliente no tiene deuda,ARIZONA,FALSO
12Jun2014:10:10:21.000000,3300,780-799,"$60,001-$70,000","Pagos mensuales de deuda verificados: $1,130...Ingreso mensual neto 16,670",OREGON,FALSO
12Jun2014:10:23:04.000000,3400,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
12Jun2014:10:53:46.000000,17200,720-739,"$1-$10,000","Ingreso anual neto: $16,900",ARIZONA,FALSO
12Jun2014:11:05:44.000000,2500,780-799,"$50,001-$60,000","Ingreso mensual neto 3,740",SOUTHERN CALIFORNIA,FALSO
12Jun2014:11:31:10.000000,2500,760-779,"$60,001-$70,000",,ARIZONA,FALSO
12Jun2014:11:37:41.000000,6000,740-759,,"Ingreso mensual neto 4,480...El cliente no tiene deuda",WASHINGTON STATE,FALSO
12Jun2014:11:45:11.000000,3700,700-719,"$1-$10,000","Ingreso anual neto: $29,500...Pagos mensuales de deuda verificados: $90",SOUTHERN CALIFORNIA,FALSO
12Jun2014:12:12:56.000000,8400,780-799,"$100,000+","Pagos mensuales de deuda verificados: $2,660",NORTHERN CALIFORNIA,VERDADERO
12Jun2014:12:28:07.000000,4400,780-799,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
12Jun2014:12:47:45.000000,12000,780-799,,"Ingreso anual neto: $191,400",ARIZONA,FALSO
12Jun2014:13:19:11.000000,7700,720-739,"$1-$10,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
12Jun2014:13:49:52.000000,3100,740-759,,,WASHINGTON STATE,FALSO
12Jun2014:14:00:33.000000,2500,760-779,"$1-$10,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,VERDADERO
12Jun2014:14:31:47.000000,2900,740-759,"$10,001-$20,000",,ARIZONA,FALSO
12Jun2014:14:52:32.000000,2500,740-759,"$20,001-$30,000","Ingreso anual neto: $20,400",NORTHERN CALIFORNIA,FALSO
12Jun2014:15:01:53.000000,11700,780-799,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
12Jun2014:15:34:14.000000,7600,740-759,"$100,000+","Ingreso anual neto: $100,600",ARIZONA,FALSO
12Jun2014:16:02:09.000000,2500,760-779,,"Ingreso mensual neto 3,210",NORTHERN CALIFORNIA,FALSO
12Jun2014:16:35:37.000000,3400,760-779,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
12Jun2014:16:44:23.000000,3400,700-719,,,ARIZONA,FALSO
12Jun2014:16:52:54.000000,2500,780-799,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
12Jun2014:17:14:50.000000,3100,760-779,"$40,001-$50,000",Pagos mensuales de deuda verificados: $710,NORTHERN CALIFORNIA,FALSO
12Jun2014:17:31:35.000000,2500,700-719,"$50,001-$60,000","Ingreso mensual neto 5,750",SOUTHERN CALIFORNIA,FALSO
12Jun2014:17:50:02.000000,4400,740-759,"$20,001-$30,000",,NEVADA,FALSO
12Jun2014:18:11:44.000000,9100,700-719,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
12Jun2014:18:20:15.000000,3600,760-779,"$100,000+","Pagos mensuales de deuda verificados: $2,640...Ingreso mensual neto 6,840",SOUTHERN CALIFORNIA,VERDADERO
12Jun2014:18:29:29.000000,2500,740-759,"$30,001-$40,000",Pagos mensuales de deuda verificados: $630,OREGON,FALSO
13Jun2014:09:04:01.000000,2500,720-739,"$20,001-$30,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
13Jun2014:09:21:19.000000,35000,780-799,,,NORTHERN CALIFORNIA,FALSO
13Jun2014:09:27:12.000000,29700,700-719,,"Ingreso anual neto: $118,400",NEVADA,FALSO
13Jun2014:09:50:51.000000,4300,740-759,,,ARIZONA,FALSO
13Jun2014:10:20:55.000000,4200,700-719,,"Ingreso mensual neto 10,380...El cliente no tiene deuda",OREGON,FALSO
13Jun2014:10:36:37.000000,6200,780-799,,"Ingreso anual neto: $15,500",NORTHERN CALIFORNIA,FALSO
13Jun2014:10:49:55.000000,3100,760-779,"$20,001-$30,000","Ingreso mensual neto 9,140",ARIZONA,FALSO
13Jun2014:11:03:22.000000,6100,700-719,,"Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
13Jun2014:11:17:19.000000,12500,700-719,"$20,001-$30,000","Ingreso anual neto: $88,700",NEVADA,FALSO
13Jun2014:11:42:59.000000,7000,780-799,"$10,001-$20,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $230",SOUTHERN CALIFORNIA,FALSO
13Jun2014:12:00:27.000000,17900,720-739,"$90,001-$100,000","Ingreso mensual neto 5,770",NORTHERN CALIFORNIA,FALSO
13Jun2014:12:23:08.000000,2500,760-779,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
13Jun2014:12:48:25.000000,8200,780-799,"$1-$10,000",,ARIZONA,FALSO
13Jun2014:13:10:01.000000,2500,720-739,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
13Jun2014:13:31:20.000000,5400,720-739,,"Ingreso anual neto: $200,000",ARIZONA,FALSO
13Jun2014:13:49:25.000000,3000,780-799,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,VERDADERO
13Jun2014:14:05:41.000000,7200,700-719,"$1-$10,000","Ingreso anual neto: $20,100",SOUTHERN CALIFORNIA,FALSO
13Jun2014:14:15:39.000000,2500,740-759,"$40,001-$50,000",,ARIZONA,FALSO
13Jun2014:14:25:32.000000,35000,720-739,"$10,001-$20,000","Ingreso mensual neto 5,950",WASHINGTON STATE,FALSO
13Jun2014:14:53:35.000000,2500,800+,,,SOUTHERN CALIFORNIA,FALSO
13Jun2014:15:15:52.000000,4300,700-719,"$20,001-$30,000",,SOUTHERN CALIFORNIA,VERDADERO
13Jun2014:15:31:12.000000,9800,780-799,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
13Jun2014:15:49:18.000000,2500,740-759,"$30,001-$40,000",,OREGON,FALSO
13Jun2014:16:22:04.000000,14300,760-779,"$100,000+","Ingreso anual neto: $200,000",OREGON,VERDADERO
13Jun2014:16:48:53.000000,2500,740-759,"$30,001-$40,000","Ingreso anual neto: $71,700",OREGON,FALSO
13Jun2014:17:19:31.000000,11400,720-739,"$40,001-$50,000","Ingreso anual neto: $34,400",ARIZONA,FALSO
13Jun2014:17:32:56.000000,4300,780-799,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
13Jun2014:17:39:55.000000,2500,700-719,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
13Jun2014:18:13:13.000000,27100,700-719,,"Ingreso anual neto: $111,000",NORTHERN CALIFORNIA,FALSO
13Jun2014:18:42:38.000000,4900,780-799,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
13Jun2014:18:56:58.000000,2500,720-739,,El cliente no tiene deuda,NEVADA,FALSO
16Jun2014:09:02:50.000000,2500,700-719,,"Ingreso anual neto: $70,200",SOUTHERN CALIFORNIA,FALSO
16Jun2014:09:24:38.000000,6100,760-779,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,VERDADERO
16Jun2014:09:36:08.000000,2500,780-799,"$70,001-$80,000",,ARIZONA,FALSO
16Jun2014:09:52:06.000000,2500,740-759,"$1-$10,000",,NEVADA,FALSO
16Jun2014:10:11:04.000000,3500,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000",ARIZONA,VERDADERO
16Jun2014:10:21:24.000000,2500,780-799,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
16Jun2014:10:49:59.000000,6000,700-719,,,WASHINGTON STATE,FALSO
16Jun2014:11:02:25.000000,2500,700-719,"$20,001-$30,000","Ingreso anual neto: $100,900",ARIZONA,FALSO
16Jun2014:11:09:01.000000,16100,740-759,,"Ingreso anual neto: $76,300",ARIZONA,FALSO
16Jun2014:11:42:06.000000,2500,720-739,"$20,001-$30,000","Ingreso anual neto: $15,000",ARIZONA,FALSO
16Jun2014:12:16:02.000000,5400,720-739,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
16Jun2014:12:40:04.000000,2500,760-779,,"Ingreso mensual neto 1,610",NEVADA,FALSO
16Jun2014:12:46:39.000000,2500,740-759,"$30,001-$40,000",,WASHINGTON STATE,FALSO
16Jun2014:13:07:57.000000,6000,720-739,"$40,001-$50,000",,OREGON,FALSO
16Jun2014:13:41:46.000000,2500,720-739,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
16Jun2014:14:15:29.000000,3500,720-739,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
16Jun2014:14:31:02.000000,2800,780-799,"$10,001-$20,000",,ARIZONA,FALSO
16Jun2014:14:51:20.000000,20500,760-779,"$1-$10,000","Ingreso mensual neto 3,590",SOUTHERN CALIFORNIA,FALSO
16Jun2014:14:57:21.000000,2500,700-719,,"Ingreso anual neto: $34,800",SOUTHERN CALIFORNIA,FALSO
16Jun2014:15:09:11.000000,3000,780-799,"$30,001-$40,000","Ingreso anual neto: $57,700",SOUTHERN CALIFORNIA,FALSO
16Jun2014:15:38:52.000000,2500,780-799,"$10,001-$20,000","Ingreso anual neto: $22,100",SOUTHERN CALIFORNIA,FALSO
16Jun2014:15:53:29.000000,5500,700-719,,"Ingreso anual neto: $24,800",SOUTHERN CALIFORNIA,FALSO
16Jun2014:16:00:49.000000,2500,740-759,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
16Jun2014:16:26:19.000000,2500,760-779,"$40,001-$50,000",,NEVADA,VERDADERO
16Jun2014:16:52:05.000000,5400,780-799,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
16Jun2014:17:14:53.000000,8100,760-779,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
16Jun2014:17:44:33.000000,2600,740-759,,"Ingreso mensual neto 1,250",NORTHERN CALIFORNIA,FALSO
16Jun2014:17:50:58.000000,4300,700-719,"$90,001-$100,000",,NORTHERN CALIFORNIA,FALSO
16Jun2014:18:04:26.000000,2500,760-779,"$50,001-$60,000",,SOUTHERN CALIFORNIA,FALSO
16Jun2014:18:17:56.000000,3600,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $460,ARIZONA,FALSO
16Jun2014:18:48:45.000000,5100,700-719,"$20,001-$30,000","Ingreso anual neto: $52,600",NORTHERN CALIFORNIA,FALSO
17Jun2014:09:13:56.000000,2500,740-759,"$1-$10,000","Ingreso mensual neto 3,320",SOUTHERN CALIFORNIA,FALSO
17Jun2014:09:37:42.000000,8400,780-799,"$1-$10,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,FALSO
17Jun2014:09:52:10.000000,2500,760-779,,"Ingreso mensual neto 3,630...El cliente no tiene deuda",NEVADA,FALSO
17Jun2014:10:17:20.000000,10900,740-759,"$30,001-$40,000","Ingreso anual neto: $60,100...Pagos mensuales de deuda verificados: $650",OREGON,FALSO
17Jun2014:10:41:43.000000,4000,800+,"$10,001-$20,000","Ingreso mensual neto 3,140",WASHINGTON STATE,FALSO
